Song_title,Release_year,Duration_in_seconds,artist_name,Playlist_name,processed_lyrics
One Of Your Girls,2023,181,Troye Sivan,Today’s Top Hits,girls everybody loves baby trademark face linin block around baby first place face card cash credit yes god speak said look skip application interview sweet like marabou look look give call ever get lonely like one girls homies say want keep secret get key heart need give call ever get desperate like one girls evеrybody wants baby insure waist nobody wants bad baby let plead case might also like face card cash credit yes god speak said lololook pop culture iconography standin right front look lolook give call ever get lonely like one girls homies say want keep secret get key heart need give call ever get desperate like one girls aah aah give call ever get desperate like one girls4embed
First Person Shooter (feat. J. Cole),2023,247,Drake,Today’s Top Hits,person shooter firstperson shooter mode turnin song funeral say us better talkin workin cubicles boys locked knew code lot debatin numeral three two uno numero uno drizzy shit like super bowl man shit damn near big big big big big super bowl difference two guys playin shit studio usually send verses back terrible like twoyearold love dinner fine women start debatin goat like go head say goat goat goat goat bitches really rootin like kid act bad january november cole might also like big big big big super bowl thirsty put beef dissectin words start lookin deep look tweets start suckin teeth lettin rock cause love mystique still get song yb trust everything saw ig diss id make sure hit like caller id namin album fall pretty ironic cause fall still bitch gettin bigger waitin kid come drop like father love argue hardest mc kdot aubrey big three like started league right feel like muhammad ali huh huhhuh muhammad ali one call shit connectin feel like job rhymin biggest mistake spiderman meme lookin drake like recruited homies demon deacons attending wake hate game away bars man shit like prison escape everybody steppers well fuck everybody breakfast clear plate show motion picture blockbuster goat golden pen top toucher spot rusher sprayed whole shit crop duster russia apply pressure cranium coles automatic aimin boy status stadium ayy click shit click woah click shit click woah click hoes make crime scene click trigger stick like high beam man bentley wheel whippin nineteen call number leave hangin drycleaned android messages lime green search one name end seein twenty tings nadine christine justine kathleen charlene pauline claudine man pack phone like sardines send naked pictures small things still takin pictures gulfstream youngins richer rappers stream really hate sellin false dreams man pub sale buy whole thing ever give flowers well course talk cause sore spot boy one boycott told jimmy jam use grammy door stop girl gave head need fuck might eat talkin repeated fuck one away michael beat beat beat beat beat beat beat beat beat beat beat beat beat ayy beat even pay back none favors need it6embed
I KNOW ?,2023,211,Travis Scott,Today’s Top Hits,tell still drunk right tell still fuck one one zone right tell still tellin feel right said drugs lied way right inside arms could drunk baby sound righteous twenty bitches suckin like bisons eeny meeny miney roll dices pick even really type hear losin night shift losin get girl get fightin shot searchin spot girl feel girl feel think groove want someone like might also like tell still drunk right tell still fuck one one zone right tell still tellin feel right said drugs lied way right inside arms could drunk mami stress three bullshit kick thirty youll feel best turned whole spot crucial crucial way left upstairs like low new bitches best lookin startin turn startin fuck mind brought booby trap burbs f29 address case heard floodin upstairs leak make squeak make squirt make shit beat bon appétit feast slippin slide streets takes finesse especially cabriolet engine make hard creep leave gate open side door creep turrell kids downstairs asleep upstairs minute room baby tell tell tell still drunk right tell still fuck one one zone right tell still tellin feel right said drugs lied way right inside arms could drunk18embed
Prada,2023,132,cassö,Today’s Top Hits,take lady selfridges new drip way rap still sellin bricks half cake way take flight take lyft phone molly man hes way might take shard might take ritz matter baby straight feel like princes house purple paint walls sittin fancy couch see straight state twentytwo paris baby strippers tits face pull bentley want christian want fendi want prada ahah ahah oohoohooh already make paper need chase clout wow usually pipe like runnin mouth wow already make papеr need chase clout wow usually pipe like runnin mouth wow sidе piece east bad bitch south wow baby baby money comin goin might also like take lady selfridges new drip way rap still sellin bricks half cake way take flight take lyft phone molly man hes way might take shard might take ritz matter baby straight feel like princes house purple paint walls sittin fancy couch see straight state twentytwo paris baby strippers tits face pull bentley want christian want fendi want prada ahah ahah oohoohooh already make paper need chase clout wow usually pipe like runnin mouth wow already make paper need chase clout wow usually pipe like runnin mouth wow side piece east bad bitch south wow baby baby money comin goin want prada ahah ahah oohoohooh want prada ahah ahah oohoohooh2embed
Daylight,2023,212,David Kushner,Today’s Top Hits,telling wont go wont care tryna wash away blood spilt lust burden share two sinners atone lone prayer souls tied intertwined pride guilt darkness distance way livin resist love hate time drink poison vine love hate time hidin sins daylight daylight runnin thе daylight daylight runnin daylight love hatе time tellin last time spare mercy might find knees deep way lord try try follow light nighttime please leave end might also like darkness distance beggin forgiveness might resist love hate time drink poison vine love hate time hidin sins daylight daylight runnin daylight daylight runnin daylight love hate time love hate time drink poison vine love hate time hidin sins daylight daylight runnin daylight daylight runnin daylight love hate time2embed
Super Shy,2023,154,NewJeans,Today’s Top Hits,shy super shy super shy wait minute make mine make mine 떨리는 지금도 mind time tell super shy super shy super shy super shy wait minute make mine make mine 떨리는 지금도 mind time tell super shy super shy go go find spot sit talk looking pretty follow 우리 둘이 나란히 보이지 눈이 갑자기 빛나지 say dream even name even name 누구보다도 might also like super shy supеr shy wait minute make minе make mine 떨리는 지금도 mind time tell super shy super shy super shy super shy wait minute make mine make mine 떨리는 지금도 mind time tell super shy super shy 원래 말도 잘하고 그런데 이런지 like something odd special top babe super shy super shy wait minute make mine make mine 떨리는 지금도 mind time tell super shy super shy super shy super shy wait minute make mine make mine 떨리는 지금도 mind time tell super shy super shy even name even name 누구보다도 even name even name 2embed
As It Was,2022,167,Harry Styles,Today’s Top Hits,ᜆᜄᜎᜓᜄ᜔englishnederlandsshqippolskiрусскийहिन्दीčesky한국어as come harry say goodnight holdin back gravitys holdin back want hold palm hand leave nothin say everything gets way seems replaced one stay ohohoh world us world us answer phone harry good alone sitting home floor kind pills ringin bell nobodys coming help daddy lives wants well ohohoh might also like world us world us go home get ahead lightspeed internet talk way leave america two kids follow talk whos doin first was190embed
What It Is (Solo Version),2023,189,Doechii,Today’s Top Hits,17 contributorswhat whats every good girl needs little thug every block boy needs little love put pick see panoramic view thats point view bae thats energy thats lemon pepper thing tenpiece baby bedroom bully bando make flip handles never switchin sides switchin angles go crazy like rambo whats every good girl needs little thug every block boy needs little love put pick whats every good girl needs little thug every block boy needs little love put pick might also like hit еm hit truck tucked hе get like stuck night like say site bedroom bully bando make flip handles never switchin sides switchin angles go crazy like rambo whats every good girl needs little thug every block boy needs little love put pick whats every good girl needs little thug every block boy needs little love put pick care run streets long comin home love way walk way speak keep real thats deal thats reason speed put name thats even exchange stay deal tell tell babe whats every good girl needs little thug every block boy needs little love put pick whats every good girl needs little thug every block boy needs little love put pick back like back like back back like back like whats white way need love mean ride woahembed
Moonlight,2023,187,Kali Uchis,Today’s Top Hits,get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight forget small talk surface level much care putting lip gloss saw stare peripheral baby hell day place escape find feels let go everything free get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight might also like nothing like peace mind take time make sure okay put stress brain always go way show priority find feels let go everything free get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight get high lover veo una muñeca cuando miro en el espejo kiss kiss looking dolly think may go tonight ride get high moonlight get higher get higher higher lets go moon leave behind feel side getting higher higher moonlights glow nowhere wont go together go higher higher nononowhere wont go5embed
Nonsense,2022,163,Sabrina Carpenter,Today’s Top Hits,ohoh ohoh ohoh daah ahah ahahah think want one number phone might change contact leave alone said like eyes like make roll treat like queen feelin thrown help get close baby tongue goes numb sounds like blehblahblee want one else baby deep heres song wrote honest lookin thinkin nonsense cartwheels stomach walk arms around feels good jump octave think ex forgot find chill mustve lost even talkin nonsense talkin talkin might also like talkin around clock talkin hope nobody knocks talkin opposite soft talkin wild wild thoughts keep young energy caught love help get close baby tongue goes numb sounds like blehblahblehblee want one else baby deep heres song wrote honest lookin thinkin nonsense cartwheels stomach walk arms around feels good hit octave think ex forgot find chill mustve lost even talkin nonsense talkin talkin talkin talkin talkin talkin ahah ahah ah even anymore song catchier chickenpox bet house sock woke morning thought id write pop hit haha quickly take clothes pop quiz ones make arent make12embed
